Number of points: 1001
                Sun:                                            Mercury:                                        Venus:                                          Earth:                                          Mars:                                           Jupiter:                                        Saturn:                                         Uranus:                                         Neptun:                                         Pluto:                                          
Time            Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    Position_(x)    Position_(y)    Position_(z)    
2.100000e-01    3.694808e-05    4.028072e-06    0.000000e+00    -1.138719e+00   2.075586e-01    0.000000e+00    -3.789691e-01   8.004515e-01    0.000000e+00    2.863726e-01    1.029096e+00    0.000000e+00    1.175981e+00    9.921760e-01    0.000000e+00    5.169383e+00    5.707538e-01    0.000000e+00    9.530851e+00    4.339352e-01    0.000000e+00    1.918774e+01    3.014252e-01    0.000000e+00    3.005908e+01    2.403810e-01    0.000000e+00    3.952947e+01    2.103161e-01    0.000000e+00    
2.200000e-01    4.049014e-05    4.568157e-06    0.000000e+00    -1.188666e+00   1.615631e-01    0.000000e+00    -4.486580e-01   7.808400e-01    0.000000e+00    2.262162e-01    1.049833e+00    0.000000e+00    1.143117e+00    1.031571e+00    0.000000e+00    5.166324e+00    5.978205e-01    0.000000e+00    9.529936e+00    4.545850e-01    0.000000e+00    1.918752e+01    3.157776e-01    0.000000e+00    3.005899e+01    2.518275e-01    0.000000e+00    3.952941e+01    2.203311e-01    0.000000e+00    
2.300000e-01    4.418008e-05    5.145598e-06    0.000000e+00    -1.235714e+00   1.150392e-01    0.000000e+00    -5.161928e-01   7.566795e-01    0.000000e+00    1.651324e-01    1.067236e+00    0.000000e+00    1.108979e+00    1.069891e+00    0.000000e+00    5.163121e+00    6.248713e-01    0.000000e+00    9.528978e+00    4.752329e-01    0.000000e+00    1.918728e+01    3.301298e-01    0.000000e+00    3.005889e+01    2.632740e-01    0.000000e+00    3.952936e+01    2.303460e-01    0.000000e+00    
2.400000e-01    4.801655e-05    5.760364e-06    0.000000e+00    -1.280044e+00   6.814597e-02    0.000000e+00    -5.813022e-01   7.282986e-01    0.000000e+00    1.033279e-01    1.081293e+00    0.000000e+00    1.073605e+00    1.107095e+00    0.000000e+00    5.159772e+00    6.519053e-01    0.000000e+00    9.527976e+00    4.958787e-01    0.000000e+00    1.918703e+01    3.444819e-01    0.000000e+00    3.005879e+01    2.747204e-01    0.000000e+00    3.952930e+01    2.403610e-01    0.000000e+00    
2.500000e-01    5.199831e-05    6.412372e-06    0.000000e+00    -1.321821e+00   2.101518e-02    0.000000e+00    -6.437597e-01   6.960310e-01    0.000000e+00    4.100604e-02    1.092004e+00    0.000000e+00    1.037035e+00    1.143144e+00    0.000000e+00    5.156279e+00    6.789217e-01    0.000000e+00    9.526931e+00    5.165224e-01    0.000000e+00    1.918678e+01    3.588338e-01    0.000000e+00    3.005869e+01    2.861667e-01    0.000000e+00    3.952924e+01    2.503759e-01    0.000000e+00    
2.600000e-01    5.612424e-05    7.101504e-06    0.000000e+00    -1.361200e+00   -2.624330e-02   0.000000e+00    -7.033809e-01   6.602103e-01    0.000000e+00    -2.163384e-02   1.099385e+00    0.000000e+00    9.993096e-01    1.178002e+00    0.000000e+00    5.152641e+00    7.059198e-01    0.000000e+00    9.525842e+00    5.371638e-01    0.000000e+00    1.918651e+01    3.731855e-01    0.000000e+00    3.005858e+01    2.976130e-01    0.000000e+00    3.952918e+01    2.603908e-01    0.000000e+00    
2.700000e-01    6.039331e-05    7.827614e-06    0.000000e+00    -1.398320e+00   -7.353766e-02   0.000000e+00    -7.600200e-01   6.211657e-01    0.000000e+00    -8.439748e-02   1.103462e+00    0.000000e+00    9.604707e-01    1.211632e+00    0.000000e+00    5.148858e+00    7.328989e-01    0.000000e+00    9.524710e+00    5.578029e-01    0.000000e+00    1.918623e+01    3.875370e-01    0.000000e+00    3.005846e+01    3.090593e-01    0.000000e+00    3.952911e+01    2.704057e-01    0.000000e+00    
2.800000e-01    6.480459e-05    8.590543e-06    0.000000e+00    -1.433310e+00   -1.207909e-01   0.000000e+00    -8.135659e-01   5.792182e-01    0.000000e+00    -1.470966e-01   1.104274e+00    0.000000e+00    9.205617e-01    1.244001e+00    0.000000e+00    5.144931e+00    7.598582e-01    0.000000e+00    9.523534e+00    5.784395e-01    0.000000e+00    1.918594e+01    4.018882e-01    0.000000e+00    3.005834e+01    3.205056e-01    0.000000e+00    3.952904e+01    2.804205e-01    0.000000e+00    
2.900000e-01    6.935725e-05    9.390125e-06    0.000000e+00    -1.466290e+00   -1.679384e-01   0.000000e+00    -8.639391e-01   5.346781e-01    0.000000e+00    -2.095495e-01   1.101872e+00    0.000000e+00    8.796271e-01    1.275075e+00    0.000000e+00    5.140860e+00    7.867969e-01    0.000000e+00    9.522315e+00    5.990737e-01    0.000000e+00    1.918564e+01    4.162393e-01    0.000000e+00    3.005822e+01    3.319518e-01    0.000000e+00    3.952897e+01    2.904354e-01    0.000000e+00    
3.000000e-01    7.405054e-05    1.022620e-05    0.000000e+00    -1.497369e+00   -2.149257e-01   0.000000e+00    -9.110880e-01   4.878427e-01    0.000000e+00    -2.715821e-01   1.096317e+00    0.000000e+00    8.377121e-01    1.304824e+00    0.000000e+00    5.136644e+00    8.137142e-01    0.000000e+00    9.521053e+00    6.197051e-01    0.000000e+00    1.918532e+01    4.305901e-01    0.000000e+00    3.005810e+01    3.433979e-01    0.000000e+00    3.952890e+01    3.004502e-01    0.000000e+00    
