       x:          approx:          exact:          
     0.30069930     0.64987423     -5.0800516
     0.30169830     0.64936672     -5.0800516
     0.30269730     0.64885433     -5.0800516
     0.30369630     0.64833710     -5.0800516
     0.30469530     0.64781508     -5.0800516
     0.30569431     0.64728833     -5.0800516
     0.30669331     0.64675687     -5.0800516
     0.30769231     0.64622077     -5.0800516
     0.30869131     0.64568007     -5.0800516
     0.30969031     0.64513482     -5.0800516
     0.31068931     0.64458505     -5.0800516
     0.31168831     0.64403082     -5.0800516
     0.31268731     0.64347217     -5.0800516
     0.31368631     0.64290914     -5.0800516
     0.31468531     0.64234178     -5.0800516
     0.31568432     0.64177013     -5.0800516
     0.31668332     0.64119423     -5.0800516
     0.31768232     0.64061413     -5.0800516
     0.31868132     0.64002986     -5.0800516
     0.31968032     0.63944147     -5.0800516
     0.32067932     0.63884900     -5.0800516
     0.32167832     0.63825249     -5.0800516
     0.32267732     0.63765198     -5.0800516
     0.32367632     0.63704751     -5.0800516
     0.32467532     0.63643911     -5.0800516
     0.32567433     0.63582684     -5.0800516
     0.32667333     0.63521072     -5.0800516
     0.32767233     0.63459079     -5.0800516
     0.32867133     0.63396710     -5.0800516
     0.32967033     0.63333968     -5.0800516
     0.33066933     0.63270856     -5.0800516
     0.33166833     0.63207379     -5.0800516
     0.33266733     0.63143540     -5.0800516
     0.33366633     0.63079342     -5.0800516
     0.33466533     0.63014789     -5.0800516
     0.33566434     0.62949885     -5.0800516
     0.33666334     0.62884634     -5.0800516
     0.33766234     0.62819038     -5.0800516
     0.33866134     0.62753101     -5.0800516
     0.33966034     0.62686826     -5.0800516
     0.34065934     0.62620218     -5.0800516
     0.34165834     0.62553278     -5.0800516
     0.34265734     0.62486011     -5.0800516
     0.34365634     0.62418419     -5.0800516
     0.34465534     0.62350506     -5.0800516
     0.34565435     0.62282276     -5.0800516
     0.34665335     0.62213731     -5.0800516
     0.34765235     0.62144874     -5.0800516
     0.34865135     0.62075708     -5.0800516
     0.34965035     0.62006237     -5.0800516
     0.35064935     0.61936464     -5.0800516
     0.35164835     0.61866391     -5.0800516
     0.35264735     0.61796022     -5.0800516
     0.35364635     0.61725359     -5.0800516
     0.35464535     0.61654406     -5.0800516
     0.35564436     0.61583164     -5.0800516
     0.35664336     0.61511639     -5.0800516
     0.35764236     0.61439831     -5.0800516
     0.35864136     0.61367744     -5.0800516
     0.35964036     0.61295380     -5.0800516
     0.36063936     0.61222743     -5.0800516
     0.36163836     0.61149835     -5.0800516
     0.36263736     0.61076658     -5.0800516
     0.36363636     0.61003216     -5.0800516
     0.36463536     0.60929512     -5.0800516
     0.36563437     0.60855546     -5.0800516
     0.36663337     0.60781323     -5.0800516
     0.36763237     0.60706845     -5.0800516
     0.36863137     0.60632114     -5.0800516
     0.36963037     0.60557133     -5.0800516
     0.37062937     0.60481904     -5.0800516
     0.37162837     0.60406430     -5.0800516
     0.37262737     0.60330714     -5.0800516
     0.37362637     0.60254757     -5.0800516
     0.37462537     0.60178562     -5.0800516
     0.37562438     0.60102131     -5.0800516
     0.37662338     0.60025468     -5.0800516
     0.37762238     0.59948573     -5.0800516
     0.37862138     0.59871449     -5.0800516
     0.37962038     0.59794100     -5.0800516
     0.38061938     0.59716526     -5.0800516
     0.38161838     0.59638730     -5.0800516
     0.38261738     0.59560715     -5.0800516
     0.38361638     0.59482482     -5.0800516
     0.38461538     0.59404034     -5.0800516
     0.38561439     0.59325372     -5.0800516
     0.38661339     0.59246500     -5.0800516
     0.38761239     0.59167418     -5.0800516
     0.38861139     0.59088130     -5.0800516
     0.38961039     0.59008637     -5.0800516
     0.39060939     0.58928941     -5.0800516
     0.39160839     0.58849044     -5.0800516
     0.39260739     0.58768949     -5.0800516
     0.39360639     0.58688656     -5.0800516
     0.39460539     0.58608169     -5.0800516
     0.39560440     0.58527489     -5.0800516
     0.39660340     0.58446617     -5.0800516
     0.39760240     0.58365557     -5.0800516
     0.39860140     0.58284310     -5.0800516
     0.39960040     0.58202877     -5.0800516
     0.40059940     0.58121260     -5.0800516
     0.40159840     0.58039462     -5.0800516
     0.40259740     0.57957484     -5.0800516
     0.40359640     0.57875328     -5.0800516
     0.40459540     0.57792996     -5.0800516
     0.40559441     0.57710489     -5.0800516
     0.40659341     0.57627809     -5.0800516
     0.40759241     0.57544958     -5.0800516
     0.40859141     0.57461937     -5.0800516
     0.40959041     0.57378749     -5.0800516
     0.41058941     0.57295395     -5.0800516
     0.41158841     0.57211876     -5.0800516
     0.41258741     0.57128195     -5.0800516
     0.41358641     0.57044352     -5.0800516
     0.41458541     0.56960350     -5.0800516
     0.41558442     0.56876190     -5.0800516
     0.41658342     0.56791873     -5.0800516
     0.41758242     0.56707402     -5.0800516
     0.41858142     0.56622777     -5.0800516
     0.41958042     0.56538000     -5.0800516
     0.42057942     0.56453073     -5.0800516
     0.42157842     0.56367998     -5.0800516
     0.42257742     0.56282775     -5.0800516
     0.42357642     0.56197406     -5.0800516
     0.42457542     0.56111893     -5.0800516
     0.42557443     0.56026236     -5.0800516
     0.42657343     0.55940439     -5.0800516
     0.42757243     0.55854501     -5.0800516
     0.42857143     0.55768424     -5.0800516
     0.42957043     0.55682210     -5.0800516
     0.43056943     0.55595860     -5.0800516
     0.43156843     0.55509376     -5.0800516
     0.43256743     0.55422758     -5.0800516
     0.43356643     0.55336008     -5.0800516
     0.43456543     0.55249127     -5.0800516
     0.43556444     0.55162117     -5.0800516
     0.43656344     0.55074979     -5.0800516
     0.43756244     0.54987714     -5.0800516
     0.43856144     0.54900324     -5.0800516
     0.43956044     0.54812809     -5.0800516
     0.44055944     0.54725171     -5.0800516
     0.44155844     0.54637412     -5.0800516
